Show,TERRITORY.EAST.CENTRAL,TERRITORY.NORTHEAST,TERRITORY.PACIFIC,TERRITORY.SOUTHEAST,TERRITORY.SOUTHWEST,TERRITORY.WEST.CENTRAL,COUNTY.SIZE.A,COUNTY.SIZE.B,COUNTY.SIZE.C,COUNTY.SIZE.D,WIRED.CABLE.W.PAY,WIRED.CABLE.W.O.PAY,DBS.OWNER,BROADCAST.ONLY,VIDEO.GAME.OWNER,DVD.OWNER,VCR.OWNER,X1.TV.SET,X2.TV.SETS,X3.TV.SETS,X4..TV.SETS,X1.PERSON,X2.PERSONS,X3.PERSONS,X4..PERSONS,HOH..25,HOH.25.34,HOH.35.44,HOH.45.54,HOH.55.64,HOH.65.,X1.3.YRS.COLLEGE,X4..YRS.COLLEGE,X4.YRS.H.S.,WHITE.COLLAR,BLUE.COLLAR,NOT.IN.LABOR.FORCE,BLACK,WHITE,OTHER,ANY.CHILDREN.2.5,ANY.CHILDREN.6.11,ANY.CHILDREN.12.17,ANY.CATS,ANY.DOGS,MALE.HOH,FEMALE.HOH,INCOME.30.74K.,INCOME.75K.,HISPANIC.ORIGIN,NON.HISPANIC.ORIGIN,HOME.IS.OWNED,HOME.IS.RENTED,PC.NON.OWNER,PC.OWNER.WITH.INTERNET.ACCESS,PC.OWNER.WITHOUT.INTERNET.ACCESS
Living with Ed,6.1611,19.0758,28.7915,17.5355,7.7014,20.7346,48.6967,31.3981,13.3886,6.5166,36.4929,43.6019,20.2607,0,66.4692,98.4597,90.4028,1.5403,26.8957,27.7251,43.7204,1.7773,20.1422,21.2085,56.7536,0.8294,18.128,45.0237,32.7014,2.4882,0.5924,41.9431,29.6209,25.1185,53.436,33.8863,12.5592,12.5592,80.9242,6.5166,23.9336,36.4929,40.4028,32.4645,46.8009,38.2701,61.6114,31.0427,56.872,9.5972,90.1659,76.8957,22.9858,12.5592,77.9621,9.3602
Monarch Cove,10.3289,14.0132,11.1184,37.1053,15.7237,11.6447,35.1316,32.2368,15.9211,16.7763,31.25,39.5395,29.0132,0,54.7368,94.2105,74.1447,11.0526,25.3289,29.5395,34.1447,6.1842,26.5789,23.9474,43.3553,1.25,20.0658,40.0658,32.1711,2.5658,3.9474,27.8947,14.2105,42.5658,39.8026,42.2368,17.9605,19.4737,74.0789,6.3816,15.8553,24.9342,38.75,31.25,50.3947,38.6842,61.3158,43.5526,20.4605,12.3026,87.6974,71.5132,28.6184,21.8421,62.9605,15.1974
Top Chef,7.519,23.8271,19.6066,17.8652,14.116,16.9637,48.2483,31.3255,13.3579,7.1297,42.8806,34.1528,23.2329,0.041,50.5019,92.2557,78.0783,11.1862,34.0504,22.7412,31.9812,10.9404,27.5763,26.2446,35.1977,8.8302,31.5509,32.5958,21.8808,3.237,1.8439,32.309,42.6962,19.7705,60.4384,23.5607,16.0008,11.3092,78.3036,10.4282,18.6847,21.7169,18.3979,32.3909,47.3059,48.5556,51.3829,39.0699,44.0484,11.1248,88.8547,65.7242,34.2348,13.5218,80.1475,6.3716
Iron Chef America,12.8118,25.1617,21.7123,20.1879,10.5482,9.6397,46.9664,30.3819,12.5038,10.1478,44.3794,29.9661,25.7776,0,56.9295,94.2408,83.6464,12.1343,27.6255,28.7188,31.5214,7.0065,24.1454,21.0348,47.8596,6.4213,26.8094,33.9698,25.2849,3.8651,3.6803,30.7515,38.3739,23.36,57.2221,25.9624,16.8309,13.397,77.9027,8.6695,22.9597,27.3329,24.1916,33.0305,47.1974,51.1857,48.7989,44.364,44.6104,8.7003,91.2997,74.8075,25.1925,8.6849,84.7244,6.5445
Trading Spaces: All Stars,11.9926,15.1292,17.1587,16.7897,16.2362,22.6937,28.5978,37.6384,16.7897,16.9742,46.4945,34.5018,19.1882,0,49.4465,90.2214,81.1808,9.9631,22.1402,36.7159,31.1808,9.2251,24.9077,22.3247,43.7269,8.4871,32.4723,39.6679,14.7601,4.059,0.5535,32.1033,35.2399,25.0923,58.3026,32.8413,8.8561,8.6716,87.2694,4.059,21.5867,22.5092,24.1697,34.1328,50.9225,41.8819,58.1181,37.2694,47.048,9.9631,90.2214,75.0923,24.9077,11.9926,85.9779,2.0295
Lisa Williams: Life Among the Dead,17.321,23.3256,9.4688,26.5589,13.3949,9.9307,37.1824,23.5566,20.5543,18.7067,36.7206,35.3349,28.6374,0,51.7321,94.2263,84.9885,8.776,29.5612,29.7921,32.1016,15.0115,28.1755,28.4065,28.4065,3.6952,16.1663,40.1848,28.6374,7.1594,4.388,33.7182,14.5497,42.2633,35.1039,33.2564,31.6397,11.5473,83.3718,5.0808,13.164,15.2425,29.5612,36.7206,52.4249,36.2587,63.9723,44.5727,24.9423,7.8522,92.1478,69.2841,30.7159,26.3279,64.8961,8.776
Project Runway,10.7261,21.5272,20.282,20.162,14.7165,12.5563,50,32.9133,12.6613,4.4704,47.5998,34.8035,17.5218,0.015,49.0249,95.1395,81.5632,14.5665,30.5581,21.7222,33.1533,14.2664,25.4575,22.6973,37.6088,10.396,31.1431,29.613,20.222,6.9457,1.6952,32.7333,47.3897,16.2166,60.096,23.8674,16.0666,16.1716,71.7822,12.0912,16.2616,19.712,18.9769,29.883,43.6994,45.7996,54.1704,38.9439,45.4845,9.1509,90.8791,66.0966,33.9034,7.2607,85.4185,7.3207
Next,11.6279,27.8013,15.8562,22.4101,11.6279,10.6765,48.3087,22.3044,13.5307,15.8562,34.5666,35.3066,30.8668,0,57.3996,95.9831,75.8985,6.9767,24.7357,39.852,28.3298,4.7569,22.6216,23.1501,49.26,9.3023,28.8584,29.1755,22.9387,5.074,4.7569,35.518,22.9387,33.8266,57.9281,25.8985,16.0677,16.7019,70.6131,12.5793,15.4334,13.6364,30.1268,39.7463,38.9006,47.6744,52.2199,39.852,26.5328,19.556,80.3383,53.3827,46.5116,13.4249,71.7759,14.7992
House Hunters,14.986,22.479,12.0448,22.8992,12.2549,15.2661,39.7759,30.6723,14.0056,15.6863,37.3249,32.7731,29.2717,0,62.0448,94.6078,86.3445,8.5434,24.5798,31.0224,35.7843,7.6331,23.3193,22.7591,46.1485,2.591,27.381,38.3754,24.5098,4.2717,3.0112,36.2045,36.6947,22.8992,56.2325,29.972,13.7255,15.4762,77.1008,7.423,25.2101,30.112,26.3305,34.3838,48.6695,47.8291,52.1709,42.6471,47.479,7.8431,92.0868,80.8824,19.1176,7.2129,84.1737,8.6134
My Super Sweet 16,11.612,22.541,16.8033,25.4098,11.4754,12.0219,41.3934,30.6011,13.1148,14.7541,48.9071,34.6995,18.5792,0,65.4372,95.082,82.377,10.3825,21.7213,27.459,40.5738,5.7377,19.5355,26.776,47.9508,20.3552,27.3224,19.1257,24.1803,7.2404,1.776,37.2951,23.0874,27.5956,50.9563,31.2842,17.7596,13.7978,73.4973,12.5683,16.2568,21.9945,23.0874,26.5027,52.7322,45.6284,54.3716,43.5792,29.7814,15.847,84.153,53.9617,45.9016,13.5246,72.9508,13.388
What Not to Wear,15.4419,18.4186,17.1163,24.4651,11.7209,13.0233,35.3488,38.6047,12.6512,13.3953,38.7907,39.814,20.8372,0,57.9535,95.0698,88.6512,11.1628,29.8605,24.4651,34.5116,10.8837,25.3953,21.9535,41.8605,7.2558,24.9302,32.5581,26.5116,4.2791,4.4651,31.4419,43.6279,21.1163,60.093,26.4186,13.4884,9.4884,83.0698,7.4419,17.8605,24.6512,24.7442,37.5814,46.7907,50.2326,49.8605,46.8837,42.3256,8.093,91.814,78.0465,21.9535,7.1628,86.3256,6.6047
Real World XVIII Denver Launch,12.7871,21.6692,17.9556,21.4395,10.4135,15.7734,39.0123,32.0061,14.8928,14.1271,42.075,34.5329,23.5835,0,61.9449,92.4579,77.5268,10.6049,26.1485,24.6554,38.5911,8.9587,26.4165,23.2006,41.3859,17.6876,30.7044,22.3966,19.0658,7.5038,2.6417,35.4518,27.0674,28.5605,48.66,33.8821,17.4579,16.5773,75.9954,7.4273,16.3093,16.5391,18.7596,27.6034,48.6983,48.2389,51.7994,43.4533,37.2511,13.8591,86.1792,61.1409,38.8974,15.0459,78.4074,6.6233
American Chopper,15.0784,16.8361,13.0877,22.6387,13.2994,19.1021,28.3566,31.5544,15.1419,24.9471,34.9852,33.3969,31.8297,0,67.8738,94.5574,83.6086,8.7039,32.2745,26.8742,32.1686,9.9322,20.5845,21.8975,47.6281,9.6993,25.9212,35.2181,23.0623,3.4307,2.6048,32.3168,13.8077,32.2745,30.9191,46.9928,22.0881,2.5625,91.529,5.9509,23.8035,26.0271,26.4718,30.9615,62.9394,56.8827,43.1385,54.3202,28.9496,9.3816,90.6607,77.0224,22.9564,19.7586,72.5752,7.6874
Monk,13.6828,25.8147,19.945,17.8543,9.7762,12.8779,36.0031,30.5065,17.0887,16.3918,40.2042,35.8952,24.1559,0,58.0879,91.4311,85.4044,9.5014,22.2124,31.9592,36.3369,9.8057,23.2627,27.4735,39.4386,4.9863,16.6274,36.3074,33.1763,5.9973,2.925,31.0561,32.4598,30.1139,50.1963,30.9973,18.8359,19.15,74.2049,6.6647,12.1614,22.1143,28.0821,41.5881,46.7216,52.7778,47.2124,45.5438,34.6093,4.5347,95.4653,74.7154,25.2748,11.5823,80.4967,7.9211
The Closer,13.7866,22.69,10.8188,23.8687,14.9442,13.8497,39.739,31.2355,12.4816,16.5439,36.5818,34.0139,28.7729,0.0421,50.8314,94.0855,86.466,5.8304,29.1728,34.1823,30.8356,11.6397,28.836,20.1221,39.4022,4.6937,19.7222,34.0981,30.983,7.2827,3.1783,26.184,30.5409,36.0556,50.8314,28.3519,20.8167,17.7015,75.6683,6.6302,13.2393,20.2484,25.3631,35.5504,47.6742,48.474,51.526,45.2326,36.9185,4.7569,95.2642,75.3947,24.6264,14.0181,80.5094,5.4725
Veronica Mars,11.246,17.508,22.6837,25.4313,7.9233,15.2077,42.6198,38.5942,8.2428,10.5431,35.5272,25.9425,10.0319,28.4345,53.2907,91.8211,87.2204,19.2971,28.1789,23.3227,29.2652,21.9808,20.7668,18.8498,38.4026,7.7955,26.1981,31.0543,25.5591,6.7732,2.6198,32.8435,28.3706,31.1821,55.9744,24.1534,19.8722,16.1022,76.23,7.7316,14.6965,18.147,22.4281,28.3067,40.8946,44.7284,55.3355,40.5112,28.3706,5.9425,94.1214,60.1278,39.8722,22.7476,70.5431,6.7093
Supernatural,9.1912,20.1238,16.4087,25.4837,15.6734,13.0998,43.1502,32.469,10.5263,13.8932,29.0054,22.8909,13.8932,35.0232,65.7314,90.5573,86.9389,16.0797,27.0317,28.8119,28.0573,14.822,23.3166,22.8328,39.0093,6.8692,26.8769,29.6246,26.1029,7.411,3.1347,32.0433,19.7949,33.0882,40.1703,29.9923,29.8568,24.168,67.1246,8.7074,18.1115,24.2454,24.4195,31.25,47.8909,43.3437,56.695,37.6935,20.4334,9.0557,90.9636,57.5658,42.4342,27.0704,59.346,13.5642
Smallville,9.4783,19.7617,18.0764,22.0374,15.8222,14.8132,45.6097,33.2117,8.7806,12.3658,25.4079,22.939,14.459,37.9562,62.4839,90.79,84.4461,17.0567,27.7587,27.6836,27.4796,15.2319,21.7153,21.3396,41.7024,5.7643,27.222,30.0558,27.0717,6.0326,3.8429,34.0489,18.0979,33.5874,40.4036,33.8235,25.7621,23.7548,64.6629,11.5715,21.6831,24.5814,22.7458,31.3332,43.3018,49.3345,50.6441,40.0923,20.1052,9.6823,90.2963,55.936,44.0425,28.3705,59.4354,12.1726
Cops,14.6683,15.6815,20.386,22.4487,10.386,16.4415,35.6333,34.415,15.8745,14.0893,25.8022,28.4439,20.5428,25.6936,63.4379,87.4427,83.0519,14.7286,22.0869,29.421,33.7515,13.1001,20.772,21.8577,44.2581,5.9831,22.497,36.538,26.8154,5.5609,2.6055,33.6912,11.158,39.1074,37.0205,40.4463,22.5211,19.4572,72.0386,8.5042,19.3004,22.4125,24.3667,30.8806,48.6128,51.1821,48.8179,39.5778,26.924,10.6273,89.3848,63.3414,36.6586,27.8046,60.5308,11.6526
Friday Night Lights,14.7812,18.2799,14.4947,21.2361,11.4775,19.7306,35.1457,32.61,16.1526,16.0978,33.0184,26.9109,25.6065,15.6894,61.3983,93.6182,85.1335,11.3312,26.3318,27.9837,34.3716,10.5937,26.4233,22.2601,40.7412,6.2599,28.7578,33.8108,23.9729,4.5898,2.6149,31.9152,34.7312,29.221,53.6938,30.245,16.0856,10.7887,84.1704,5.0347,21.7603,22.6868,21.6811,32.3113,47.5984,55.7479,44.2521,40.8875,42.7953,5.8332,94.179,72.4674,27.5326,13.3914,78.8065,7.8142
Close to Home,15.3736,17.4558,14.7461,25.6703,14.0901,12.6925,31.5174,32.6868,17.7695,18.0548,24.7861,25.271,27.239,23.5311,53.2516,90.1597,85.5391,10.9812,25.8985,30.6617,32.4872,11.2094,28.0662,22.6184,38.1346,3.9932,18.6537,33.8848,32.0023,7.587,3.8791,33.5425,21.6771,34.8545,42.6982,28.1517,29.1786,16.7142,77.6954,5.6189,14.7176,24.1586,25.5277,35.8243,49.8289,46.0924,53.9361,44.2384,28.437,5.6475,94.3811,72.2191,27.7809,19.3098,71.0211,9.6977
Las Vegas,15.5033,19.1895,20.9673,17.6993,9.9346,16.6797,37.0458,34.8235,13.9085,14.1961,30.2222,23.9739,27.9477,18.3529,56.2876,93.6732,84.8889,11.0327,26.4837,27.1634,35.3203,10.9281,26.3268,23.0327,39.7124,6.0131,23.9477,34.8497,26.0392,6.0392,3.0588,35.2157,29.4641,28.9412,53.2288,30.6928,16.0784,11.1895,81.9346,6.8758,18.8758,19.268,22.9281,33.8301,51.5556,51.7386,48.2353,41.8562,39.5817,6.6928,93.3072,74.0131,25.9608,15.085,76.4706,8.4183
30 Rock,14.0711,21.8145,18.6362,21.2944,7.7723,16.4114,40.2774,36.3479,13.2621,10.1127,37.0124,28.46,19.792,15.4002,55.3886,90.4941,81.566,15.8047,29.9624,25.2528,28.9801,12.0774,29.1534,24.7905,33.9786,8.4658,31.696,31.3782,21.9012,4.7096,1.8492,31.7538,43.4845,21.67,60.9939,22.0457,16.9604,8.3791,86.3623,5.2586,18.6362,17.9428,17.7983,34.961,45.8827,55.4175,44.5825,40.2774,43.9757,5.2297,94.7703,69.7486,30.2514,10.0549,82.6062,7.3389
America's Next Top Model,9.8586,25.6914,19.1049,20.7093,10.4919,14.1229,51.5516,29.4701,10.3652,8.613,36.1621,25.6703,17.4372,20.8782,55.9004,91.9358,81.8028,14.3973,28.5202,26.578,30.4834,13.0885,25.1214,23.1159,38.6532,10.8296,30.5256,30.0401,20.2027,6.692,1.6888,31.4334,30.019,28.7735,51.9527,29.8079,18.2394,35.3388,53.9582,10.703,18.0705,19.0416,22.7781,26.3247,36.7743,44.2474,55.7526,41.102,30.6945,10.9985,89.0015,52.586,47.3929,20.0127,70.3399,9.6475
The War at Home,19.9841,15.7374,12.6535,18.3302,11.5124,21.7969,40.2643,29.6909,16.3585,13.679,31.0487,25.5453,17.8969,25.9208,65.3691,88.0471,81.8792,17.1024,25.1842,26.3397,31.3737,17.3119,22.0786,20.1647,40.4377,9.9523,26.997,29.3298,25.4225,5.3734,2.9178,28.7664,24.6714,36.7399,49.0178,33.5043,17.4852,10.5879,82.912,6.5073,17.4346,21.6958,20.5619,29.4959,44.6483,56.8901,43.1027,43.9405,32.9409,8.1251,91.8677,67.8608,32.1392,22.4758,67.4202,10.0896
Law and Order: Criminal Intent,15.9262,19.8812,19.5525,19.6056,10.5079,14.5372,39.3702,31.4389,16.5624,12.6074,30.9617,27.7277,26.2857,16.1171,54.0558,93.0866,85.0069,11.0381,27.399,28.3003,33.2626,12.9573,24.9708,21.7262,40.3563,5.3653,24.4195,34.938,25.3632,6.0015,3.9232,30.1559,34.1215,30.0074,48.7117,29.0955,22.2034,16.1489,78.2738,5.588,20.7719,25.9145,21.9277,36.1255,47.1318,48.0861,51.9139,36.0725,42.4027,5.4713,94.5287,69.6003,30.421,16.2019,73.2054,10.5821
The Apprentice: Los Angeles,16.3073,17.4851,19.8949,17.0683,7.6826,21.5619,42.1453,31.2919,15.4557,11.1071,32.8864,28.7733,27.1426,11.7775,56.1696,95.3252,87.8601,12.1761,23.863,26.8527,37.0901,10.0199,24.7509,21.58,43.6492,3.4064,28.6646,39.1013,22.6309,4.4392,1.7757,28.9908,46.1134,21.5981,57.5648,27.7043,14.7309,9.9293,82.0438,8.0268,20.9096,25.1495,24.9139,32.0529,44.7364,55.934,44.0478,40.5146,51.3136,6.7222,93.2596,76.0101,23.9899,5.7982,88.1681,6.0337
The Unit,15.9171,18.1988,15.1711,22.2137,12.0338,16.4436,29.5524,35.882,16.9373,17.6174,27.1062,22.9377,29.6621,21.2045,53.5542,91.8714,86.6279,14.2935,25.0548,29.6183,31.0333,10.3993,25.9544,22.4441,41.2023,2.8741,23.9359,36.4743,28.1044,5.3093,3.2909,31.6806,26.0312,36.3427,45.8534,34.5217,19.6139,11.4743,84.061,4.4647,17.6283,23.9359,23.1681,38.2075,54.2892,56.0992,43.9118,43.7363,38.3172,3.8504,96.1496,76.8978,23.0913,14.6336,76.8868,8.4906
Cold Case,15.3493,22.2607,15.2591,22.9751,11.5289,12.6119,33.7369,30.4881,18.8539,16.9136,27.5175,25.7953,25.3817,22.193,53.2827,92.0208,86.1999,11.2732,27.901,28.8561,31.9621,13.3338,26.3593,21.9072,38.4072,3.2188,17.7709,34.9628,30.8791,8.3703,4.7981,32.4584,27.7807,30.8039,45.8976,30.0293,24.0731,16.4473,77.0775,6.4751,16.1089,22.7721,23.4865,36.4067,48.2214,49.1013,50.8837,42.4457,32.857,4.4221,95.5779,72.1366,27.8559,20.1775,69.7827,10.0323
Bones,14.2903,18.6766,20.5336,23.4258,9.381,13.7033,40.9072,30.8431,16.3501,11.9104,28.3351,21.953,21.8036,28.794,55.5283,91.174,85.4322,13.9061,27.6414,25.667,32.7855,13.4258,24.8773,21.6222,40.0747,4.8132,23.5966,31.238,29.8933,7.556,2.9136,31.7076,23.127,33.1163,47.0331,29.3063,23.682,12.2946,81.0993,6.6062,15.7097,21.2914,25.5069,38.8901,48.4418,43.8954,56.0939,43.6073,30.0107,6.8623,93.127,68.9328,31.0779,22.7962,67.0864,10.1174
The Biggest Loser,15.2107,17.558,18.2975,20.7223,12.2356,15.9931,33.4738,32.0464,19.3465,15.1333,34.7807,28.7016,25.3052,12.2184,60.086,92.8203,86.8358,9.7163,27.6956,27.0077,35.5804,7.2829,24.3852,25.503,42.8289,6.6982,30.0688,34.583,23.405,3.4738,1.7627,34.6862,31.9003,26.8702,53.9037,28.9768,17.1195,11.0404,82.8719,6.1049,21.1866,27.3947,26.1049,35.3052,55.0645,48.3663,51.6337,42.3302,42.2614,8.5469,91.4617,77.1883,22.8117,11.3929,79.6131,9.0112
Shark,13.993,21.9133,17.3678,21.8493,12.5937,12.2919,35.2296,30.492,16.3435,17.944,29.2025,25.7454,24.9223,20.7426,53.6309,91.7871,85.8881,11.9078,24.7393,30.3731,32.9797,12.2279,25.6997,22.6084,39.4641,4.6461,17.2398,35.2113,29.6598,8.3227,4.9204,34.3424,27.3733,30.1719,48.7379,29.1476,22.1237,15.8405,78.1507,5.9905,14.6515,22.1602,26.0106,37.7355,49.3689,49.4238,50.5853,41.9609,35.9338,4.6186,95.3905,74.0168,25.9832,17.4776,74.6204,7.902
My Name is Earl,15.897,16.8244,17.6003,22.1991,9.86,17.6003,34.5382,35.9008,14.4209,15.1211,34.7086,27.3467,25.2082,14.3073,56.4534,91.4459,82.7593,14.0802,30.9046,27.3656,27.6495,10.9198,30.5829,24.3944,34.103,6.2642,31.6616,32.9296,22.8804,4.2203,2.025,32.5322,36.8849,25.8327,54.3906,28.0469,17.5625,7.1915,88.1529,4.6366,17.8842,20.0984,18.2816,36.3361,48.9402,54.0689,45.9311,40.4996,42.6571,4.7691,95.2309,73.5428,26.4572,11.866,80.7721,7.3429
Ugly Betty,12.9309,22.8937,17.8491,16.2319,13.8027,16.2785,46.6325,26.4941,13.8826,12.9975,32.9096,22.2814,25.5624,19.9055,53.1745,92.9056,85.9044,9.6899,28.484,28.6703,33.1692,10.7281,26.5939,23.5192,39.1521,4.7118,21.0036,31.5719,31.4189,6.928,4.3724,35.199,31.8714,27.0065,55.0313,27.3992,17.5762,13.0906,75.7221,11.1873,15.8991,23.4527,25.6822,32.324,52.5556,46.3064,53.6869,40.8359,40.6828,11.3337,88.6663,74.0716,25.9151,13.2504,78.5572,8.1991
Two and a Half Men,16.9849,22.1944,12.877,19.722,10.9,17.3169,32.8251,33.8737,16.4125,16.8887,29.4242,26.3649,25.2249,19.8278,55.082,90.7836,86.3389,10.1207,27.9956,29.6359,32.2526,11.7466,28.8085,20.1693,39.2708,3.752,18.8032,37.2072,31.786,5.4019,3.0401,34.3547,27.7118,31.8871,51.1713,33.258,15.5659,7.629,87.2192,5.147,14.5943,21.4392,24.5563,37.9961,50.5893,52.09,47.9148,40.8341,41.3777,4.969,95.0262,75.8767,24.1233,16.3885,75.3668,8.2399
Lost,11.7621,22.6809,20.8833,19.0968,10.8966,14.6804,43.9525,34.0657,11.8509,10.1309,35.941,28.6285,24.2233,12.0284,60.1753,92.632,87.4612,11.5846,29.1056,25.6658,33.644,8.644,28.7949,21.1607,41.4115,6.4359,27.9849,36.0075,22.4146,4.4385,2.7408,31.6578,38.8371,25.0777,58.6107,24.9667,16.4225,7.0905,86.3071,6.6134,19.3409,24.0235,21.1163,37.8384,51.4092,54.4274,45.5726,38.4376,48.3245,5.9032,94.0968,76.842,23.158,8.2889,84.5539,7.1571
Dancing with the Stars,14.0218,21.4514,17.4641,19.2451,13.6231,14.1813,41.7597,33.32,12.387,12.5332,35.8852,28.9075,24.7873,11.0579,54.386,94.2052,86.5231,8.4928,27.3259,28.9208,35.2605,8.5991,26.5816,24.0165,40.7895,3.9474,23.4716,33.8915,27.3658,7.1903,4.1334,33.8517,31.3929,29.3461,54.8113,28.4556,16.7331,12.706,77.6847,9.6093,19.8166,25.3323,22.8868,32.2967,50.0399,49.8272,50.1728,40.949,43.8596,10.3801,89.6199,77.0601,22.9399,12.1212,79.5986,8.2802
CSI: Crime Scene Investigation,15.0171,18.5547,18.8807,20.0692,13.0774,14.397,32.3635,32.0335,18.4752,17.1357,30.9087,28.3369,25.8486,15.4742,54.8653,93.3143,86.9028,10.9548,25.7691,30.7735,32.4986,10.2075,25.5465,23.4399,40.8101,4.4519,21.2736,35.0068,28.5555,6.9401,3.7761,33.0074,25.7771,33.7229,48.2829,29.6407,22.0844,10.2194,83.4446,6.3399,17.6723,22.9589,24.0599,40.1701,52.1385,50.0835,49.9126,44.0337,36.7001,5.1355,94.8684,74.9304,25.0696,13.9916,77.3233,8.6851
Heroes,12.0194,20.4935,18.6965,21.3497,10.5153,16.9157,38.1938,32.7115,15.9749,13.1295,30.3838,24.7127,23.0296,22.5706,59.5957,92.4244,85.4022,13.2598,26.8418,29.8695,30.042,12.1366,26.7279,21.5483,39.6002,5.1307,26.7865,33.1543,25.315,6.2864,3.3369,34.4956,29.1858,30.055,51.281,29.5374,19.1946,15.8381,76.2477,7.9207,19.7252,22.7171,21.633,36.3349,46.6061,51.8182,48.1883,41.9279,36.5205,7.2989,92.7011,68.5484,31.4582,15.8967,74.5125,9.5973
Grey's Anatomy,14.6116,21.2043,16.3938,18.9913,11.6822,17.1234,40.4044,33.6315,14.0402,11.9196,36.9608,26.7311,23.1711,13.7743,55.1192,94.4951,86.7597,10.0297,26.2674,26.3971,37.3102,10.1923,24.5621,23.9183,41.3229,6.8432,24.9335,32.6711,25.617,6.7993,3.1381,34.5435,37.0179,24.2808,57.1783,25.8191,17.0003,12.058,80.8724,7.0696,19.0616,23.9952,22.914,32.7964,50.078,47.9815,52.0207,40.9779,44.0084,6.4608,93.537,75.4269,24.5731,10.8296,81.9844,7.1838
